Year,Race,Session,EventName,Team,ReferenceTeam,Series,BaselineSeconds,PercentageToReference,WeightDeltaKg
2026,1,R,Australian Grand Prix,Alpine,Mercedes,actual,82.25515622614526,102.7607701673383,0.0
2026,1,R,Australian Grand Prix,Aston Martin,Mercedes,actual,84.9940683930885,106.18247327518941,0.0
2026,1,R,Australian Grand Prix,Audi,Mercedes,actual,82.06561236456882,102.52397439562355,0.0
2026,1,R,Australian Grand Prix,Cadillac,Mercedes,actual,84.95319112070764,106.13140559524182,0.0
2026,1,R,Australian Grand Prix,Ferrari,Mercedes,actual,80.73003242827585,100.85544406670192,0.0
2026,1,R,Australian Grand Prix,Haas F1 Team,Mercedes,actual,81.84214141155672,102.24479375461407,0.0
2026,1,R,Australian Grand Prix,McLaren,Mercedes,actual,81.18238724824275,101.42056766285566,0.0
2026,1,R,Australian Grand Prix,Mercedes,Mercedes,actual,80.04528974646534,100.0,0.0
2026,1,R,Australian Grand Prix,Mercedes,Mercedes,projected,80.22628775705229,100.22611950204721,5.0
2026,1,R,Australian Grand Prix,Racing Bulls,Mercedes,actual,81.84710243354682,102.25099152340947,0.0
2026,1,R,Australian Grand Prix,Red Bull Racing,Mercedes,actual,80.72154981179678,100.8448467954497,0.0
2026,1,R,Australian Grand Prix,Williams,Mercedes,actual,82.70356874077554,103.32096867002419,0.0
2026,2,R,Chinese Grand Prix,Alpine,Mercedes,actual,94.70736922060688,101.40574308394166,0.0
2026,2,R,Chinese Grand Prix,Audi,Mercedes,actual,94.6078860041586,101.2992237119927,0.0
2026,2,R,Chinese Grand Prix,Cadillac,Mercedes,actual,97.3125109162379,104.19513879473439,0.0
2026,2,R,Chinese Grand Prix,Ferrari,Mercedes,actual,93.87335188638856,100.51273815499793,0.0
2026,2,R,Chinese Grand Prix,Haas F1 Team,Mercedes,actual,95.03721910173016,101.7589222776699,0.0
2026,2,R,Chinese Grand Prix,Mercedes,Mercedes,actual,93.39448273872418,100.0,0.0
2026,2,R,Chinese Grand Prix,Mercedes,Mercedes,projected,93.58352439498556,100.20241201698204,5.0
2026,2,R,Chinese Grand Prix,Racing Bulls,Mercedes,actual,95.02782092819852,101.74885939894725,0.0
2026,2,R,Chinese Grand Prix,Red Bull Racing,Mercedes,actual,95.55726263058835,102.31574695682471,0.0
2026,2,R,Chinese Grand Prix,Williams,Mercedes,actual,95.79200333909206,102.56709018569659,0.0
2026,3,R,Japanese Grand Prix,Alpine,Mercedes,actual,92.25197850375456,101.54186609495477,0.0
2026,3,R,Japanese Grand Prix,Aston Martin,Mercedes,actual,94.88038806518804,104.43495972891856,0.0
2026,3,R,Japanese Grand Prix,Cadillac,Mercedes,actual,94.52755224474932,104.04659290780984,0.0
2026,3,R,Japanese Grand Prix,Ferrari,Mercedes,actual,91.4616019076472,100.67189760443343,0.0
2026,3,R,Japanese Grand Prix,Haas F1 Team,Mercedes,actual,93.23314237648162,102.6218343752839,0.0
2026,3,R,Japanese Grand Prix,McLaren,Mercedes,actual,91.14005682598936,100.31797253794974,0.0
2026,3,R,Japanese Grand Prix,Mercedes,Mercedes,actual,90.85117503896082,100.0,0.0
2026,3,R,Japanese Grand Prix,Mercedes,Mercedes,projected,91.03667238655825,100.20417715843288,5.0
2026,3,R,Japanese Grand Prix,Racing Bulls,Mercedes,actual,92.16815367011684,101.44959999756881,0.0
2026,3,R,Japanese Grand Prix,Red Bull Racing,Mercedes,actual,92.20792021716132,101.49337108476438,0.0
